Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C20, C21, C22, C23, C28, C36, C42, C43, C44, C45, C47, C48, C57, C58, C59, C60, C8",0402,23,100nF,C1525
"C15, C18, C19, C40, C41, C52, C55",0603,7,10uF,C19702
"C16, C17, C27, C5, C53, C54, C56, C9",0402,8,1uF,C52923
"C2, C29, C3, C33, C35, C4",0402,6,10nF,C15195
"C24, C25, C37",1812,3,22uF 50V,C22388553
"C26, C34, C38",0402,3,100nF 50V,C307331
"C30, C31, C39",1210,3,47uF,C5189825
C32,0402,1,150pF,C20069327
"C46, C49",1206,2,1nF 2kV,C9196
"C50, C51, C6, C7",0402,4,12pF,C1547
"D1, D4, D5, D6, D7",0603,5,Red,C2286
"D10, D8, D9",D_SOD-123F,3,SMF12CA,C19077507
"D2, D3",D_SMA,2,ST34,C413996
"FB1, FB2",0603,2,600Ω@100MHz 450mΩ,C1002
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,JST_XH_2P,
"J10, J9",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,JST_XH_3P,
J2,PZ127VS-12-10-H10-A38,1,PZ127VS-12-10-H10-A38,C2935458
J3,BarrelJack_DC-005-A200_Horizontal,1,DC-005-A200,C720557
J4,USB_C_Receptacle_HX_TYPE-C_16P+4.3,1,USB_C_Receptacle_USB2.0_16P_Tall_5.9mm,C32713314
"J5, J6, J7",TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,3,DB301V-3.5-2P-GN-S,C695629
J8,NEUTRIK_NE8FAH,1,NE8FAH,C368497
L1,MDA1050-3R3M,1,3.3uH 9mΩ 17A,C2847560
L2,L_APV_ANR5020,1,3.9uH 2.7A,C167928
Q1,PDFN3X3-8L,1,SP40P18NJ,C41355197
"R10, R12, R15, R16, R26, R27, R8, R9",0402,8,5.1kΩ,C25905
"R11, R22, R24, R25",0402,4,200kΩ,C25764
"R13, R14, R17",0402,3,73.2k,C26986
"R18, R23",0402,2,51k,C25794
"R19, R28, R3, R33, R4, R46, R47, R5",0402,8,1.5k,C25867
"R2, R42, R43, R55, R57, R59, R6, R61",0603,8,75R,C4275
"R20, R29, R30, R31, R32, R49, R50, R53, R56, R58, R60, R62, R7",0402,13,10k,C25744
R21,1206,1,0R 1206,C17888
"R34, R35, R36, R37",0402,4,49.9R,C25120
"R38, R39, R40, R45",0402,4,33R,C25105
R41,0402,1,12.1k,C2933069
"R44, R48",2010,2,1M 2kV,C2779367
"R51, R52, R54",1206,3,10R 250mW,C17903
SW1,SW_Push_SPST_NO_Alps_SKRK,1,TS-1088-AR02016,C720477
"SW2, SW3, SW4, SW5",SW_SPST_4P_SMD,4,Button,C455114
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,15,TestPoint,
TR1,Transformer_Ethernet_B1601S,1,B1601S,C510548
"U1, U5",TO-92_Inline,2,MCP9700A-E/TO,
"U10, U6",SOT-23-6,2,SRV05-4,C7420376
U11,LAN8742A_VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,LAN8742A,C621425
U12,CA-IS2092A,1,CA-IS2092A,C18185406
U2,LQFP-100_14x14mm_P0.5mm,1,STM32H723VETx,C730141
"U3, U4",SOT-23-5,2,SN74LVC1G17DBVR,C7836
U7,SOT-23-6,1,CH221K,C5125736
U8,TPS56A37_10-pin_3x3mm_HotRod_QFN,1,TPS56A37,C22392669
U9,TSOT-23-6,1,AP63203WU,C780769
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,25 Mhz,C9006
